sample-id	diet	family	sampling site
#q2:types	categorical	categorical	categorical
BmaculataBKNP20031	fruigivorous	pteropodidae	Bukit Kana NP
BmaculataBKNP20033	fruigivorous	pteropodidae	Bukit Kana NP
BmaculataBKNP20075	fruigivorous	pteropodidae	Bukit Kana NP
CbrachyotisBKNP20036	fruigivorous	pteropodidae	Bukit Kana NP
HdiacorumBKNP20083	insectivorous	hipposideridae	Bukit Kana NP
HdiademaBKNP20055	insectivorous	hipposideridae	Bukit Kana NP
HdiademaBKNP20090	insectivorous	hipposideridae	Bukit Kana NP
MminimusBKNP20052	nectarivorous	pteropodidae	Bukit Kana NP
MminimusBKNP20077	nectarivorous	pteropodidae	Bukit Kana NP
MminimusBKNP20094	nectarivorous	pteropodidae	Bukit Kana NP
MminimusBKNP20095	nectarivorous	pteropodidae	Bukit Kana NP
PstenopterusBKNP20084	insectivorous	vespertillionidae	Bukit Kana NP
RacuminatusBKNP20AM	insectivorous	rhinolophidae	Bukit Kana NP
RacuminatusBKNP20085	insectivorous	rhinolophidae	Bukit Kana NP
RphilippinensisBKNP20089	insectivorous	rhinolophidae	Bukit Kana NP
RsedulusBKNP20015	insectivorous	rhinolophidae	Bukit Kana NP
RtrifoliatusBKNP20081	insectivorous	rhinolophidae	Bukit Kana NP